" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","66","1435 中福","其他","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.00"," "
" "," ","67","1436 華友聯","營建","2.50","4.00","3.00","1.00","1.00","3.00","0.00","0.00","0.00","0.19","0.00","0.00","0.00","1.00","0.00","44.00"," "
" "," ","68","1437 勤益控","其他","1.10","0.50","1.00","0.50","0.00","0.00","0.00","0.00","0.00","0.15","0.00","0.00","0.20","0.00","0.00","24.40"," "
" "," ","69","1438 裕豐","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","28.50"," "
" "," ","70","1439 中和","紡織","5.00","0.00","0.00","0.50","0.50","0.50","0.50","0.50","0.50","10.00","0.00","0.00","0.00","0.00","0.00","21.80"," "
" "," ","71","1440 南紡","紡織","0.20","0.40","0.36","0.32","0.45","0.27","0.60","0.30","0.20","1.10","0.60","0.00","0.60","0.25","0.00","23.20"," "
" "," ","72","1441 大東","紡織","0.00","3.30","0.00","0.00","0.00","0.00","0.00","0.30","1.20","0.00","0.00","0.00","0.00","0.00","0.00","9.30"," "
" "," ","73","1442 名軒","營建","0.98","1.00","1.80","2.00","2.00","1.85","4.00","1.20","2.50","2.00","1.50","1.20","0.00","0.00","0.00","19.00"," "
" "," ","74","1443 立益","紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.50"," "
" "," ","75","1444 力麗","紡織","0.00","0.40","0.50","0.00","0.50","0.50","0.50","0.60","0.80","1.80","1.00","0.00","0.50","0.00","0.00","10.85"," "
" "," ","76","1445 大宇","紡織","0.20","0.20","0.20","0.30","0.50","0.30","0.50","0.30","0.50","0.50","0.20","0.21","0.40","0.00","0.00","11.95"," "
" "," ","77","1446 宏和","紡織","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.00","0.00","0.00","0.27","0.00","0.00","30.35"," "
