" "," ","編號","股票","類別","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","收盤價",""
" "," ","731","3551 世禾","櫃他電","1.70","1.60","1.20","1.00","2.00","2.50","2.50","2.00","2.03","2.00","2.00","2.50","3.16","2.50","-","69.90"," "
" "," ","732","3555 重鳥鵬","櫃半導","0.00","0.00","1.20","0.10","0.00","0.00","0.00","0.00","4.20","8.76","0.55","0.45","0.00","2.20","-","32.70"," "
" "," ","733","3556 禾瑞亞","櫃半導","3.30","3.30","4.10","4.10","4.10","4.60","7.20","3.00","4.50","2.80","2.40","1.70","2.25","1.80","-","91.10"," "
" "," ","734","3557 嘉威","光電","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.12","0.00","4.50","-","-","80.80"," "
" "," ","735","3558 神準","櫃通信","5.20","6.50","6.00","8.00","13.00","9.49","6.07","3.98","3.01","2.00","3.00","0.94","3.22","0.00","-","95.00"," "
" "," ","736","3564 其陽","櫃通信","0.60","0.00","0.00","2.00","2.99","1.80","1.50","2.36","0.00","0.00","0.00","0.00","2.50","2.81","-","22.90"," "
" "," ","737","3567 逸昌","櫃半導","1.70","2.00","2.30","2.00","1.10","0.70","0.40","0.14","0.18","1.53","1.00","0.13","0.65","0.10","-","35.00"," "
" "," ","738","3570 大塚","櫃資服","5.50","3.00","1.28","3.00","3.50","4.00","3.00","2.20","2.50","1.98","1.40","1.48","2.00","-","-","67.60"," "
" "," ","739","3576 聯合再生","光電","0.00","0.00","0.00","0.00","0.00","0.20","0.30","0.00","0.00","5.12","0.00","2.20","2.00","-","-","19.70"," "
" "," ","740","3577 泓格","櫃電腦","0.70","1.70","1.50","2.00","1.30","1.50","1.50","1.50","1.70","1.99","0.60","1.50","2.50","-","-","46.00"," "
" "," ","741","3580 友威科","櫃他電","1.74","2.10","3.00","0.00","0.00","0.00","0.00","0.00","0.00","0.30","0.60","1.50","2.00","-","-","51.90"," "
" "," ","742","3581 博磊","櫃半導","0.70","0.70","1.00","1.00","1.00","1.10","1.00","0.00","0.00","0.00","0.00","0.00","1.00","-","-","25.45"," "
" "," ","743","3583 辛耘","半導","2.00","2.50","2.00","2.00","1.00","1.52","3.00","1.50","0.50","0.00","0.00","-","-","-","-","60.60"," "
" "," ","744","3587 閎康","櫃他電","3.00","3.00","2.50","3.50","2.96","4.00","4.00","3.50","2.50","1.94","0.00","0.91","1.60","-","-","143.00"," "
" "," ","745","3588 通嘉","半導","1.00","0.75","0.50","1.50","1.50","2.01","2.00","2.20","2.50","4.40","4.00","3.00","4.00","-","-","128.00"," "
" "," ","746","3591 艾笛森","光電","0.10","0.30","0.00","0.00","0.32","0.31","0.42","0.83","3.51","5.00","4.50","3.02","3.00","-","-","22.00"," "
" "," ","747","3593 力銘","電零","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","2.80","2.00","3.00","-","-","13.00"," "
" "," ","748","3594 磐儀","櫃電腦","0.29","0.30","0.50","0.20","0.50","1.09","1.00","0.88","0.97","1.00","0.60","0.40","1.20","-","-","22.90"," "
" "," ","749","3596 智易","通信","4.70","3.50","2.00","3.90","1.60","2.20","2.10","1.00","1.50","2.20","2.50","3.24","2.88","-","-","90.10"," "
" "," ","750","3605 宏致","電零","0.75","0.70","0.40","0.60","0.40","1.20","0.69","1.20","3.50","3.52","5.98","4.00","4.00","-","-","52.80"," "
" "," ","751","3607 谷崧","電零","0.00","0.50","0.80","1.50","4.20","4.15","3.19","2.94","3.00","4.00","4.00","3.00","4.00","-","-","13.10"," "
" "," ","752","3609 東林","櫃電零","0.00","0.50","0.20","0.00","0.00","0.00","0.00","0.00","0.60","1.20","1.00","0.50","2.50","-","-","46.30"," "
" "," ","753","3615 安可","櫃光電","0.00","0.30","0.60","0.10","0.30","0.00","0.50","1.50","3.30","1.00","0.50","0.00","0.00","-","-","21.00"," "
" "," ","754","3617 碩天","他電","5.35","5.30","5.00","4.75","4.50","4.23","4.01","3.80","3.59","3.47","3.20","2.50","5.00","-","-","76.80"," "
" "," ","755","3622 洋華","光電","0.80","0.50","0.30","0.00","0.00","0.00","0.00","0.50","0.50","5.99","10.00","6.85","0.94","-","-","27.95"," "
" "," ","756","3623 富晶通","櫃光電","0.00","2.50","3.19","4.00","5.42","3.00","1.40","0.00","0.00","0.00","0.70","0.00","0.00","-","-","14.60"," "
" "," ","757","3624 光頡","櫃電零","0.70","1.20","0.50","0.50","2.50","1.00","1.50","1.20","1.00","1.50","1.00","1.00","1.50","-","-","41.30"," "
" "," ","758","3625 西勝","櫃電腦","0.50","1.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.00","0.00","-","-","24.70"," "
" "," ","759","3628 盈正","櫃他電","1.00","1.50","2.50","3.00","3.25","4.00","2.50","2.50","5.00","12.00","3.00","2.57","0.60","-","-","34.60"," "
" "," ","760","3629 卓韋","櫃光電","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.49","0.89","0.25","-","-","-","60.50"," "
" "," ","761","3630 新鉅科","櫃光電","0.00","0.00","0.00","0.00","0.00","0.00","1.00","0.00","1.01","3.05","1.20","0.40","0.27","-","-","40.15"," "
" "," ","762","3631 晟楠","櫃電零","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","3.16","3.91","1.66","1.92","2.67","-","-","43.70"," "
" "," ","763","3632 研勤","櫃通信","0.00","0.00","0.00","0.00","0.00","0.00","0.26","1.05","1.40","1.80","2.75","3.00","-","-","-","8.08"," "
" "," ","764","3642 駿熠電","櫃他電","0.00","0.00","0.00","0.00","0.00","0.74","0.50","0.52","3.00","1.50","0.20","1.50","-","-","-","11.20"," "
" "," ","765","3645 達邁","電零","0.50","2.00","1.50","1.20","1.00","1.50","0.50","1.00","1.20","1.20","0.00","0.00","-","-","-","42.45"," "
" "," ","766","3646 艾恩特","櫃電零","0.85","1.00","1.00","1.00","1.00","1.00","1.50","1.00","2.00","1.50","1.00","0.30","-","-","-","24.65"," "
" "," ","767","3652 精聯","櫃電腦","0.14","0.70","0.70","0.70","0.70","0.80","0.50","0.00","0.93","1.15","1.00","2.60","-","-","-","23.65"," "
" "," ","768","3663 鑫科","櫃他電","1.00","0.40","0.50","0.60","0.00","0.50","0.00","0.90","1.00","1.80","0.69","2.00","-","-","-","34.50"," "
" "," ","769","3664 F-安瑞","櫃通信","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.49","0.00","0.00","-","-","-","-","8.33"," "
" "," ","770","3666 光耀","櫃光電","0.00","0.00","1.30","1.00","1.00","3.00","1.20","0.18","0.00","0.00","0.00","0.00","-","-","-","32.70"," "
" "," ","771","3669 圓展","光電","0.50","0.40","0.40","0.88","0.20","0.41","0.20","0.48","1.50","3.50","5.00","-","-","-","-","58.40"," "
" "," ","772","3672 康聯訊","櫃通信","0.21","0.30","0.60","1.80","2.40","2.50","0.30","0.00","-","-","-","-","-","-","-","13.75"," "
" "," ","773","3673 TPK-KY","光電","0.00","0.00","3.00","0.00","0.00","0.47","4.98","20.91","22.69","0.50","-","-","-","-","-","39.05"," "
" "," ","774","3675 德微","櫃半導","1.30","2.00","2.00","3.46","0.63","0.00","0.00","0.00","0.36","2.10","2.75","-","-","-","-","182.00"," "
" "," ","775","3679 新至陞","電零","4.00","3.00","6.11","8.00","4.00","3.50","3.00","3.04","4.00","2.50","3.50","1.41","-","-","-","90.00"," "
" "," ","776","3682 亞太電","通信","0.00","0.00","0.00","0.00","0.00","0.00","0.46","0.70","0.00","0.00","0.00","-","-","-","-","8.00"," "
" "," ","777","3684 榮昌","櫃通信","2.14","1.54","2.70","2.50","4.00","3.00","2.00","2.40","1.45","1.10","1.70","-","-","-","-","37.60"," "
" "," ","778","3685 政翔","櫃光電","0.20","0.60","0.40","0.00","0.00","0.00","1.00","1.50","2.00","2.02","1.54","0.00","-","-","-","23.50"," "
" "," ","779","3686 達能","半導","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.12","0.00","-","-","-","-","16.65"," "
" "," ","780","3687 歐買尬","櫃文創","0.06","0.00","0.00","0.00","0.00","0.00","0.00","5.00","10.05","2.50","6.50","-","-","-","-","105.00"," "
" "," ","781","3689 湧德","櫃電零","0.50","1.20","2.30","1.60","1.50","4.30","4.46","3.80","3.50","3.50","1.19","-","-","-","-","32.25"," "
" "," ","782","3691 碩禾","櫃光電","2.00","0.00","5.00","15.00","20.00","15.00","8.00","7.00","20.00","28.00","10.00","-","-","-","-","169.50"," "
" "," ","783","3693 營邦","櫃電腦","0.00","0.00","0.00","3.00","5.30","5.66","4.20","1.50","1.00","0.60","0.50","-","-","-","-","39.00"," "
" "," ","784","3694 海華","通信","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.50","2.50","-","-","-","-","20.35"," "
" "," ","785","3701 大眾控","電腦","1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.50"," "
" "," ","786","3702 大聯大","通路","2.40","2.70","2.40","2.40","2.40","2.50","2.30","2.40","2.60","3.00","3.80","1.40","2.38","1.69","0.16","47.65"," "
" "," ","787","3703 欣陸","營建","0.50","0.90","0.60","0.50","0.50","0.00","1.00","0.50","0.50","0.60","-","0.35","1.20","2.70","1.80","23.35"," "
" "," ","788","3704 合勤控","通信","0.00","0.00","0.00","0.20","0.00","0.15","0.30","0.00","1.10","0.63","0.00","0.31","1.00","1.50","3.00","25.50"," "
" "," ","789","3705 永信","生技","2.20","2.20","2.00","1.50","2.50","2.50","2.00","1.80","2.00","1.80","1.50","1.50","2.00","2.00","2.00","42.15"," "
" "," ","790","3706 神達","電腦","2.20","3.00","2.80","2.50","1.99","0.69","0.60","-","-","-","-","-","-","-","-","27.60"," "
" "," ","791","3707 漢磊","櫃半導","0.00","0.15","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","105.00"," "
" "," ","792","3708 上緯投控","化學","4.00","5.00","1.99","1.00","-","-","-","-","-","-","-","-","-","-","-","87.60"," "
" "," ","793","4102 永日","櫃生技","0.00","0.00","0.00","0.00","0.00","0.30","0.00","0.30","1.80","2.00","2.00","0.50","0.50","0.50","0.50","18.80"," "
" "," ","794","4104 佳醫","生技","3.30","3.00","2.79","2.50","2.39","2.50","2.00","2.00","2.00","2.50","1.98","1.93","5.00","2.80","2.00","54.70"," "
" "," ","795","4105 東洋","櫃生技","4.00","4.50","4.50","3.80","3.50","2.50","2.67","2.29","2.70","2.60","3.00","3.30","3.40","2.74","3.50","77.10"," "
" "," ","796","4106 雃博","生技","0.45","0.65","0.80","0.80","1.00","1.00","0.70","0.50","1.75","2.10","2.20","1.80","1.50","0.65","1.20","30.30"," "
" "," ","797","4107 邦特","櫃生技","4.00","4.00","3.50","3.00","2.60","2.61","1.77","1.60","1.50","1.80","2.00","1.50","1.50","0.63","0.50","106.50"," "
" "," ","798","4108 懷特","生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.55"," "
" "," ","799","4109 加捷","櫃生技","0.00","0.00","0.00","0.48","0.70","0.60","0.68","0.80","0.80","0.59","0.80","0.70","1.10","1.62","0.93","12.90"," "
" "," ","800","4111 濟生化學","櫃生技","1.00","0.60","0.80","0.80","0.60","0.80","1.00","0.80","0.35","0.50","0.55","0.50","0.40","0.70","1.00","21.80"," "
" "," ","801","4113 聯上","櫃營建","0.00","0.30","0.37","0.13","0.81","4.24","2.23","2.40","1.37","0.00","0.00","0.00","0.00","0.00","0.00","13.80"," "
" "," ","802","4114 健喬信","櫃生技","0.94","1.59","1.20","1.40","1.03","1.00","0.95","0.81","0.60","0.64","0.00","0.68","0.80","0.44","0.80","24.80"," "
" "," ","803","4116 明基醫","櫃生技","1.35","1.35","1.00","0.70","1.50","1.00","0.59","0.50","0.50","1.00","0.40","1.20","0.80","0.00","0.00","28.45"," "
" "," ","804","4119 旭富","生技","5.80","4.20","2.15","4.20","3.84","3.11","2.30","3.48","1.58","3.36","3.59","3.67","3.90","1.20","1.04","81.50"," "
" "," ","805","4120 友華","櫃生技","1.80","1.80","2.50","1.80","1.80","1.60","1.67","1.90","1.20","0.65","2.10","1.89","1.60","1.29","1.30","39.20"," "
" "," ","806","4121 優盛","櫃生技","0.20","0.10","0.30","0.00","0.00","0.00","0.00","0.20","0.00","0.80","0.50","0.50","1.26","1.08","1.70","22.15"," "
" "," ","807","4123 晟德","櫃生技","1.98","3.00","2.89","1.00","0.95","1.00","1.50","1.29","1.46","1.25","2.50","1.76","2.00","0.42","1.70","68.00"," "
" "," ","808","4126 太醫","櫃生技","5.00","3.20","2.50","2.50","2.50","2.50","2.50","4.00","4.00","4.12","0.99","2.13","2.02","1.50","0.42","70.00"," "
" "," ","809","4127 天良","櫃生技","0.00","0.00","0.00","0.00","0.30","0.70","1.00","0.20","0.00","0.00","0.20","0.15","0.50","0.50","1.50","11.05"," "
" "," ","810","4128 中天","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.40","2.00","2.50","0.00","0.19","0.00","0.00","0.00","53.00"," "
" "," ","811","4129 聯合","櫃生技","0.82","2.00","1.26","1.39","1.60","1.21","0.45","0.40","1.00","0.68","0.92","0.00","0.00","0.25","0.45","30.75"," "
" "," ","812","4130 健亞","櫃生技","0.66","0.80","0.80","0.35","0.50","0.50","0.30","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.90"," "
" "," ","813","4131 晶宇","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.80"," "
" "," ","814","4133 亞諾法","生技","0.10","0.60","0.80","0.70","0.80","1.03","1.10","1.20","2.00","2.00","1.50","0.00","0.00","-","-","47.05"," "
" "," ","815","4137 麗豐-KY","生技","13.00","12.00","8.04","6.50","10.00","7.00","7.00","4.20","-","-","-","-","-","-","-","187.00"," "
" "," ","816","4138 曜亞","櫃生技","3.35","3.15","3.40","3.56","3.63","3.50","1.50","4.25","5.00","5.00","2.00","1.00","-","-","-","49.80"," "
" "," ","817","4139 F-馬光","櫃生技","1.40","0.00","1.00","0.00","1.00","1.00","1.16","2.56","1.25","0.78","0.00","-","-","-","-","52.50"," "
" "," ","818","4141 龍燈-KY","生技","0.00","0.00","0.00","1.20","0.00","0.70","1.20","1.10","1.00","-","-","-","-","-","-","11.90"," "
" "," ","819","4142 國光生","生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","50.70"," "
" "," ","820","4147 中裕","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","62.90"," "
" "," ","821","4148 全宇生技-KY","生技","1.00","2.40","2.65","2.15","-","-","-","-","-","-","-","-","-","-","-","32.25"," "
" "," ","822","4152 台微體","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","100.50"," "
" "," ","823","4153 鈺緯","櫃生技","0.00","1.48","0.00","0.00","4.50","4.57","3.54","0.96","1.00","0.86","-","-","-","-","-","22.40"," "
" "," ","824","4154 F-康樂","櫃生技","0.00","0.00","0.00","0.00","0.00","1.00","0.53","2.20","1.58","10.00","-","-","-","-","-","27.70"," "
" "," ","825","4157 F*太景","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","17.00"," "
" "," ","826","4160 創源","櫃生技","0.67","0.63","0.40","0.00","0.00","0.00","0.00","0.00","0.35","0.00","0.00","-","-","-","-","24.25"," "
" "," ","827","4161 聿新科","櫃生技","0.60","0.50","0.51","1.00","0.50","1.03","1.47","0.00","0.15","0.50","-","-","-","-","-","27.55"," "
" "," ","828","4162 智擎","櫃生技","0.50","1.00","2.00","4.50","4.00","1.00","0.00","0.00","0.00","-","-","-","-","-","-","58.80"," "
" "," ","829","4163 鐿鈦","櫃生技","7.00","4.50","2.30","6.00","4.50","5.00","5.00","3.00","2.00","1.50","2.00","-","-","-","-","82.70"," "
" "," ","830","4164 承業醫","生技","2.00","1.79","1.10","1.00","2.00","2.00","2.00","3.00","4.00","-","-","-","-","-","-","33.20"," "
" "," ","831","4167 展旺","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","22.45"," "
" "," ","832","4168 醣聯","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","1.00","1.16","0.20","-","-","-","-","-","-","26.35"," "
" "," ","833","4171 瑞基","櫃農技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","109.50"," "
" "," ","834","4173 久裕","櫃生技","1.00","1.04","0.30","0.54","0.30","0.81","1.16","1.50","-","-","-","-","-","-","-","18.95"," "
" "," ","835","4174 浩鼎","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","98.80"," "
" "," ","836","4175 杏一","櫃生技","3.60","2.93","2.60","3.20","4.00","3.20","3.50","1.00","1.27","-","-","-","-","-","-","74.80"," "
" "," ","837","4183 福永生","櫃生技","0.70","0.70","0.30","0.80","0.40","0.00","0.50","0.60","-","-","-","-","-","-","-","18.60"," "
" "," ","838","4188 安克","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","17.30"," "
" "," ","839","4190 佐登-KY","生技","4.00","4.50","2.50","3.50","5.00","3.00","-","-","-","-","-","-","-","-","-","71.10"," "
" "," ","840","4192 杏國","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","89.40"," "
" "," ","841","4198 環瑞醫","櫃生技","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","0.00"," "
" "," ","842","4205 恆義食品","櫃食品","3.00","2.80","3.00","2.60","2.00","1.50","2.00","2.00","2.00","2.00","2.00","1.50","1.50","1.50","1.40","130.50"," "
" "," ","843","4207 環泰企業","櫃食品","0.35","0.70","1.05","0.00","0.00","0.47","0.99","1.18","0.25","0.45","0.45","0.00","0.39","0.51","0.00","13.10"," "
" "," ","844","4303 信立化學","櫃塑膠","1.20","1.20","55.00","0.00","0.60","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.00"," "
" "," ","845","4304 勝昱","櫃塑膠","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","6.80"," "
" "," ","846","4305 世坤塑膠","櫃塑膠","2.10","2.60","2.40","2.40","2.30","1.80","1.80","1.70","1.10","0.80","1.20","0.70","0.65","1.30","1.00","0.00"," "
" "," ","847","4306 炎洲","塑膠","0.30","0.49","0.60","0.30","0.50","0.25","1.43","1.47","2.96","1.13","2.14","1.81","0.95","1.32","0.82","17.10"," "
" "," ","848","4401 東隆興業","櫃紡織","1.20","2.00","3.00","3.60","3.60","3.50","3.70","2.20","2.20","2.00","1.00","0.70","0.85","0.85","0.84","37.70"," "
" "," ","849","4406 新昕纖維","櫃紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.50","0.20","0.00","0.00","0.00","0.00","0.00","9.65"," "
" "," ","850","4413 飛寶","櫃紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.65"," "
" "," ","851","4414 如興","紡織","0.00","0.00","0.00","0.00","0.00","0.42","0.60","0.49","0.00","0.00","0.00","0.00","0.00","0.00","0.20","8.07"," "
" "," ","852","4416 三圓","櫃營建","1.00","2.00","2.00","2.00","4.50","4.50","4.50","12.00","4.50","3.20","3.60","1.80","2.75","1.45","0.00","110.00"," "
" "," ","853","4417 金洲","櫃紡織","2.00","2.50","1.80","2.40","1.80","1.30","0.90","1.70","0.90","1.10","0.60","0.50","0.60","0.90","0.40","34.20"," "
" "," ","854","4419 松懋","櫃紡織","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"," "
" "," ","855","4420 光明","櫃紡織","1.00","2.00","1.20","1.20","1.50","1.00","1.00","1.00","1.35","1.70","1.10","1.00","1.60","1.60","1.50","28.95"," "
" "," ","856","4426 利勤","紡織","1.20","1.20","1.00","3.00","3.00","2.50","1.48","1.20","0.60","1.00","0.60","0.60","0.40","0.30","0.69","19.00"," "
" "," ","857","4429 聚紡","櫃紡織","0.00","0.00","0.00","0.50","0.50","0.50","0.50","0.50","3.20","3.20","3.00","-","-","-","-","37.00"," "
" "," ","858","4430 耀億","櫃其他","1.50","1.50","1.00","1.00","1.20","1.20","1.50","1.43","1.30","2.00","3.50","-","-","-","-","23.30"," "
" "," ","859","4432 銘旺實","櫃紡織","0.00","1.16","0.93","2.40","4.00","4.50","4.00","3.50","1.80","1.80","-","-","-","-","-","14.25"," "
" "," ","860","4433 興采","櫃紡織","0.99","2.64","0.50","1.00","1.00","0.80","1.60","1.65","-","-","-","-","-","-","-","32.40"," "
" "," ","861","4438 廣越","紡織","7.50","6.00","4.56","6.20","7.20","-","-","-","-","-","-","-","-","-","-","110.50"," "
" "," ","862","4502 源恆工業","櫃電機","0.40","1.00","1.75","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39.70"," "
" "," ","863","4503 金雨","櫃電機","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.10"," "
" "," ","864","4506 崇友實業","櫃電機","2.70","2.60","3.10","2.20","1.70","1.50","1.00","1.00","1.00","1.00","0.50","0.50","1.00","0.60","0.60","63.60"," "
" "," ","865","4510 高鋒工業","櫃電機","0.00","0.65","0.55","0.70","0.80","1.20","1.00","0.50","0.80","0.00","0.00","0.00","0.30","0.20","0.00","10.95"," "
" "," ","866","4513 福裕事業","櫃電機","0.00","0.80","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.50","1.70","1.50","0.78","9.36"," "
" "," ","867","4523 永彰","櫃電機","0.00","0.00","0.10","0.20","0.20","0.30","0.20","0.20","0.70","0.50","0.30","0.00","0.20","0.60","1.80","29.30"," "
" "," ","868","4526 東台","電機","0.20","0.30","0.00","0.50","0.80","1.20","1.10","1.20","1.40","2.00","1.00","1.50","3.00","2.50","3.00","17.55"," "
" "," ","869","4527 方土霖冷凍","櫃電機","1.60","2.00","2.00","2.20","1.80","1.80","1.70","1.34","1.08","0.40","0.20","1.00","1.00","1.18","1.18","28.45"," "
" "," ","870","4528 江興鍛壓","櫃電機","1.80","2.10","2.20","1.70","2.00","1.50","1.20","1.00","1.50","1.00","0.50","1.00","1.50","1.00","1.00","41.65"," "
" "," ","871","4529 昶洧","櫃其他","0.00","0.00","0.00","0.00","0.00","0.00","0.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","9.52"," "
" "," ","872","4530 宏易","櫃電機","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.15"," "
" "," ","873","4532 瑞智","電機","0.50","1.20","1.75","2.30","1.60","2.00","1.80","1.80","1.50","0.90","0.00","0.00","0.80","0.60","1.60","19.05"," "
" "," ","874","4533 協易機","櫃電機","0.25","0.45","0.45","0.60","0.50","0.60","0.30","0.50","0.86","0.60","0.00","0.60","1.92","1.65","1.49","11.30"," "
" "," ","875","4534 慶騰","櫃電機","0.00","0.00","0.50","1.20","0.49","0.60","0.00","0.00","0.00","0.50","0.00","0.00","0.00","0.00","0.00","13.25"," "
" "," ","876","4535 至興","櫃電機","1.00","1.15","2.15","2.25","2.25","2.50","2.00","2.00","3.00","2.50","2.00","2.30","2.50","2.50","3.00","33.30"," "
" "," ","877","4536 拓凱","其他","6.00","5.50","3.00","6.00","5.00","4.50","5.00","3.00","3.00","-","-","-","-","-","-","137.00"," "
" "," ","878","4541 晟田","櫃其他","0.71","1.09","0.30","0.30","0.90","1.20","1.35","0.65","-","-","-","-","-","-","-","22.80"," "
" "," ","879","4542 科嶠","櫃電零","1.20","1.20","1.80","0.00","0.60","4.00","2.99","3.00","-","-","-","-","-","-","-","26.15"," "
" "," ","880","4543 萬在","櫃電機","0.71","1.00","0.30","0.40","1.20","1.50","1.50","0.10","-","-","-","-","-","-","-","0.00"," "
" "," ","881","4545 銘鈺","電零","0.35","0.35","0.50","2.25","5.50","7.20","3.80","2.97","-","-","-","-","-","-","-","26.60"," "
" "," ","882","4549 桓達","櫃電機","4.00","4.50","4.00","3.50","3.00","4.00","3.50","4.00","-","-","-","-","-","-","-","87.90"," "
" "," ","883","4550 長佳","櫃電機","1.70","1.25","1.27","1.99","1.26","1.25","1.50","-","-","-","-","-","-","-","-","24.25"," "
" "," ","884","4551 智伸科","電機","2.50","3.10","6.35","4.60","3.25","3.85","0.00","-","-","-","-","-","-","-","-","154.00"," "
" "," ","885","4552 力達-KY","電機","1.70","3.90","5.00","8.00","2.00","-","-","-","-","-","-","-","-","-","-","28.00"," "
" "," ","886","4554 橙的","櫃他電","0.10","0.00","0.00","0.80","1.80","2.40","16.04","-","-","-","-","-","-","-","-","27.30"," "
" "," ","887","4555 氣立","電機","1.20","2.00","2.00","2.00","3.10","3.50","-","-","-","-","-","-","-","-","-","55.00"," "
" "," ","888","4556 旭然","櫃其他","0.70","1.25","0.36","0.36","0.75","0.70","-","-","-","-","-","-","-","-","-","32.00"," "
" "," ","889","4557 永新-KY","電機","5.00","5.00","5.00","5.00","5.58","1.00","-","-","-","-","-","-","-","-","-","62.00"," "
" "," ","890","4560 強信-KY","電機","3.99","3.47","2.48","1.60","-","-","-","-","-","-","-","-","-","-","-","42.30"," "
" "," ","891","4562 穎漢","電機","0.00","1.50","2.00","1.50","1.00","-","-","-","-","-","-","-","-","-","-","19.10"," "
" "," ","892","4609 唐鋒","櫃電器","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.96","1.90","1.80","0.00","0.00","0.99","8.05"," "
" "," ","893","4702 中美實業","櫃化學","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","12.85"," "
" "," ","894","4706 大恭化學","櫃化學","0.60","1.00","1.10","1.30","0.90","1.00","1.00","1.00","1.00","1.00","0.70","0.50","0.60","0.60","0.80","18.65"," "
" "," ","895","4707 磐亞","櫃化學","0.70","0.80","1.00","1.00","0.60","0.00","0.00","0.00","0.00","0.00","0.20","1.50","2.02","0.00","1.01","12.90"," "
" "," ","896","4711 永純化工","櫃化學","0.60","0.50","1.20","1.40","0.70","0.60","1.00","0.70","1.00","1.40","1.60","1.00","1.40","1.40","1.00","17.10"," "
" "," ","897","4714 永捷","櫃化學","0.97","1.58","0.47","0.40","0.49","0.26","0.62","0.00","0.50","1.00","1.00","0.50","0.50","1.00","0.00","12.10"," "
" "," ","898","4716 大立","櫃化學","0.51","0.40","0.25","0.35","0.50","0.50","0.50","0.85","1.03","1.00","0.53","0.24","0.10","0.25","0.54","14.35"," "
" "," ","899","4720 德淵","化學","0.29","0.15","0.20","0.60","1.00","1.00","0.60","1.00","0.75","0.20","0.50","0.50","1.00","0.80","0.50","13.50"," "
" "," ","900","4721 美琪瑪","櫃化學","2.44","2.80","2.40","1.55","1.40","1.30","1.06","0.80","1.60","2.37","1.00","1.50","1.90","1.29","1.20","136.00"," "
" "," ","901","4722 國精化","化學","1.80","1.80","2.00","2.50","2.80","1.50","1.20","1.50","1.00","0.79","0.60","0.30","0.50","0.50","0.80","36.60"," "
